Feelings	Functions	Attributes	Number
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 88.970477, Y Length = 11.856833, Height = 40.17792, Number of Points = 65.112194, Distribution Seed = 79.862309, Mesh Relaxation = 0.91919, Smooth Level = 1, 	315
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work, Exhibiting, Gathering Nodes, Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 89.650673, Y Length = 62.630215, Height = 94.789463, Number of Points = 97.250174, Distribution Seed = 85.123619, Mesh Relaxation = 0.497176, Smooth Level = 2, 	316
Pensiveness, Joy, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 28.432335, Y Length = 49.534863, Height = 67.51899, Number of Points = 54.453325, Distribution Seed = 11.327169, Mesh Relaxation = 0.865395, Smooth Level = 2, 	317
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 46.048806, Y Length = 24.920633, Height = 37.195786, Number of Points = 55.296549, Distribution Seed = 70.887549, Mesh Relaxation = 0.697682, Smooth Level = 1, 	318
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work, Exhibiting, Gathering Nodes, Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 76.148224, Y Length = 99.798913, Height = 97.336946, Number of Points = 86.700352, Distribution Seed = 88.816862, Mesh Relaxation = 0.294736, Smooth Level = 1, 	319
Pensiveness, Joy, Grief, Admiration, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 29.552771, Y Length = 58.817507, Height = 28.862486, Number of Points = 37.589335, Distribution Seed = 84.041258, Mesh Relaxation = 0.21339, Smooth Level = 1, 	320
Pensiveness, Joy, Grief, Admiration, Trust, Boredom, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 17.479038, Y Length = 50.905542, Height = 50.495294, Number of Points = 52.821158, Distribution Seed = 55.417277, Mesh Relaxation = 0.909011, Smooth Level = 2, 	321
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 48.883444, Y Length = 24.884553, Height = 42.799637, Number of Points = 81.348992, Distribution Seed = 92.146476, Mesh Relaxation = 0.805144, Smooth Level = 1, 	322
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 92.313052, Y Length = 51.705244, Height = 45.558265, Number of Points = 38.570491, Distribution Seed = 81.353445, Mesh Relaxation = 0.486628, Smooth Level = 1, 	323
Pensiveness, Joy, Grief, Loathing, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 42.026485, Y Length = 68.319187, Height = 70.434516, Number of Points = 23.565828, Distribution Seed = 44.926726, Mesh Relaxation = 0.899265, Smooth Level = 1, 	324
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 43.368083, Y Length = 39.413648, Height = 13.156839, Number of Points = 66.538278, Distribution Seed = 50.920912, Mesh Relaxation = 0.42714, Smooth Level = 1, 	325
Pensiveness, Joy, Grief, Admiration, Disgust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 66.887378, Y Length = 97.739581, Height = 76.761109, Number of Points = 45.71533, Distribution Seed = 83.270416, Mesh Relaxation = 0.238945, Smooth Level = 1, 	326
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 42.575323, Y Length = 57.714355, Height = 12.236494, Number of Points = 69.633852, Distribution Seed = 35.677238, Mesh Relaxation = 0.845271, Smooth Level = 1, 	327
Pensiveness, Joy, Grief, Loathing, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 12.646566, Y Length = 95.793067, Height = 72.520915, Number of Points = 31.76636, Distribution Seed = 15.566804, Mesh Relaxation = 0.623524, Smooth Level = 1, 	328
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 59.526764, Y Length = 60.948646, Height = 29.171146, Number of Points = 89.226792, Distribution Seed = 42.224394, Mesh Relaxation = 0.272791, Smooth Level = 1, 	329
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 94.614442, Y Length = 92.039762, Height = 80.753552, Number of Points = 65.416496, Distribution Seed = 53.960436, Mesh Relaxation = 0.632602, Smooth Level = 1, 	330
Pensiveness, Joy, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 98.255587, Y Length = 85.469039, Height = 53.552884, Number of Points = 36.905887, Distribution Seed = 98.109651, Mesh Relaxation = 0.413211, Smooth Level = 1, 	331
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 50.52838, Y Length = 39.062508, Height = 55.946301, Number of Points = 30.593156, Distribution Seed = 61.472767, Mesh Relaxation = 0.800783, Smooth Level = 1, 	332
Pensiveness, Joy, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 42.756659, Y Length = 67.198107, Height = 31.1997, Number of Points = 82.733916, Distribution Seed = 96.986394, Mesh Relaxation = 0.499495, Smooth Level = 1, 	333
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 82.12829, Y Length = 75.563847, Height = 58.731212, Number of Points = 12.131643, Distribution Seed = 66.960781, Mesh Relaxation = 0.991189, Smooth Level = 1, 	334
Pensiveness, Joy, Grief, Admiration, Disgust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 42.118948, Y Length = 80.816588, Height = 60.925478, Number of Points = 65.359679, Distribution Seed = 29.452954, Mesh Relaxation = 0.881055, Smooth Level = 1, 	335
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 96.857441, Y Length = 89.563833, Height = 40.035857, Number of Points = 39.520832, Distribution Seed = 70.048089, Mesh Relaxation = 0.719762, Smooth Level = 1, 	336
Pensiveness, Joy, Grief, Loathing, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work, Exhibiting, Gathering Nodes, Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 25.026648, Y Length = 90.234023, Height = 82.154126, Number of Points = 89.247782, Distribution Seed = 95.945047, Mesh Relaxation = 0.903081, Smooth Level = 1, 	337
Pensiveness, Joy, Grief, Loathing, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 67.049499, Y Length = 69.954528, Height = 51.505495, Number of Points = 7.781587, Distribution Seed = 79.782783, Mesh Relaxation = 0.157313, Smooth Level = 1, 	338
Pensiveness, Joy, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 39.957535, Y Length = 46.956269, Height = 36.891977, Number of Points = 7.792509, Distribution Seed = 78.506548, Mesh Relaxation = 0.440862, Smooth Level = 1, 	339
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 43.505202, Y Length = 79.927939, Height = 16.359764, Number of Points = 48.118099, Distribution Seed = 71.920606, Mesh Relaxation = 0.672209, Smooth Level = 1, 	340
Pensiveness, Joy, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 93.532973, Y Length = 33.108428, Height = 80.888274, Number of Points = 59.27329, Distribution Seed = 45.45823, Mesh Relaxation = 0.378639, Smooth Level = 1, 	341
Pensiveness, Joy, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 29.02082, Y Length = 62.880681, Height = 54.944965, Number of Points = 10.275323, Distribution Seed = 45.078093, Mesh Relaxation = 0.881637, Smooth Level = 1, 	342
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 89.720411, Y Length = 64.999318, Height = 24.173021, Number of Points = 80.637722, Distribution Seed = 43.838502, Mesh Relaxation = 0.892748, Smooth Level = 2, 	343
Pensiveness, Joy, Grief, Loathing, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 42.173228, Y Length = 71.634088, Height = 41.503563, Number of Points = 22.369736, Distribution Seed = 60.175661, Mesh Relaxation = 0.192583, Smooth Level = 2, 	344
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 75.711593, Y Length = 19.202138, Height = 67.517657, Number of Points = 17.390304, Distribution Seed = 77.656861, Mesh Relaxation = 0.303081, Smooth Level = 1, 	345
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 21.58969, Y Length = 32.393161, Height = 92.841969, Number of Points = 51.094745, Distribution Seed = 32.401734, Mesh Relaxation = 0.802329, Smooth Level = 1, 	346
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 94.398161, Y Length = 54.524745, Height = 69.499094, Number of Points = 91.894835, Distribution Seed = 55.834005, Mesh Relaxation = 0.124264, Smooth Level = 1, 	347
Pensiveness, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 32.48805, Y Length = 90.867269, Height = 30.034748, Number of Points = 89.404912, Distribution Seed = 15.717344, Mesh Relaxation = 0.820416, Smooth Level = 2, 	348
Pensiveness, Joy, Grief, Loathing, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 36.96617, Y Length = 84.836622, Height = 19.792074, Number of Points = 91.810267, Distribution Seed = 70.16298, Mesh Relaxation = 0.44684, Smooth Level = 2, 	349
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 35.736873, Y Length = 14.5868, Height = 32.199, Number of Points = 78.156043, Distribution Seed = 32.016905, Mesh Relaxation = 0.072268, Smooth Level = 1, 	350
Pensiveness, Joy, Grief, Loathing, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 84.625398, Y Length = 62.996967, Height = 65.318645, Number of Points = 79.650831, Distribution Seed = 21.032659, Mesh Relaxation = 0.223678, Smooth Level = 1, 	351
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 45.462835, Y Length = 38.167956, Height = 82.056361, Number of Points = 6.406498, Distribution Seed = 68.185696, Mesh Relaxation = 0.125928, Smooth Level = 1, 	352
Pensiveness, Joy, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 94.514772, Y Length = 58.841267, Height = 36.545929, Number of Points = 35.53164, Distribution Seed = 11.665932, Mesh Relaxation = 0.444963, Smooth Level = 2, 	353
Pensiveness, Joy, Grief, Loathing, Disgust, Boredom, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 11.93244, Y Length = 60.718139, Height = 31.628399, Number of Points = 19.174127, Distribution Seed = 32.713479, Mesh Relaxation = 0.997975, Smooth Level = 2, 	354
Serenity, Joy, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 59.65167, Y Length = 56.188773, Height = 57.440978, Number of Points = 77.759642, Distribution Seed = 31.635925, Mesh Relaxation = 0.308997, Smooth Level = 1, 	355
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 95.325367, Y Length = 41.456115, Height = 68.746683, Number of Points = 17.59926, Distribution Seed = 19.649715, Mesh Relaxation = 0.59272, Smooth Level = 1, 	356
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 48.143675, Y Length = 72.858183, Height = 69.553886, Number of Points = 37.705177, Distribution Seed = 35.408007, Mesh Relaxation = 0.74103, Smooth Level = 2, 	357
Pensiveness, Joy, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 24.960692, Y Length = 76.726702, Height = 83.380772, Number of Points = 19.138079, Distribution Seed = 31.86565, Mesh Relaxation = 0.712434, Smooth Level = 1, 	358
Serenity, Joy, Grief, Loathing, Trust, Boredom, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 95.772156, Y Length = 76.781905, Height = 46.798606, Number of Points = 14.617667, Distribution Seed = 45.172654, Mesh Relaxation = 0.678405, Smooth Level = 1, 	359
Pensiveness, Joy, Grief, Loathing, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 36.70556, Y Length = 14.326737, Height = 82.446796, Number of Points = 21.257723, Distribution Seed = 3.514258, Mesh Relaxation = 0.081273, Smooth Level = 1, 	360
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 64.357726, Y Length = 74.291407, Height = 13.022771, Number of Points = 34.156596, Distribution Seed = 18.010386, Mesh Relaxation = 0.360673, Smooth Level = 2, 	361
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 53.446334, Y Length = 95.553629, Height = 36.760423, Number of Points = 34.082323, Distribution Seed = 78.338433, Mesh Relaxation = 0.77515, Smooth Level = 2, 	362
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 54.98039, Y Length = 86.745179, Height = 68.462544, Number of Points = 25.286325, Distribution Seed = 39.227742, Mesh Relaxation = 0.156919, Smooth Level = 1, 	363
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 24.231139, Y Length = 18.347071, Height = 96.010948, Number of Points = 33.703023, Distribution Seed = 27.013962, Mesh Relaxation = 0.265824, Smooth Level = 1, 	364
Pensiveness, Joy, Ecstasy, Admiration, Disgust, Boredom, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 12.909219, Y Length = 61.061135, Height = 76.472976, Number of Points = 48.321284, Distribution Seed = 44.941646, Mesh Relaxation = 0.177128, Smooth Level = 1, 	365
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 88.70799, Y Length = 11.293507, Height = 80.179737, Number of Points = 86.250288, Distribution Seed = 21.970966, Mesh Relaxation = 0.91151, Smooth Level = 1, 	366
Pensiveness, Joy, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work, Exhibiting, Gathering Nodes, Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 39.946314, Y Length = 91.37754, Height = 55.290595, Number of Points = 58.536369, Distribution Seed = 64.416309, Mesh Relaxation = 0.234231, Smooth Level = 1, 	367
Serenity, Joy, Grief, Loathing, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 39.398465, Y Length = 85.344815, Height = 27.924307, Number of Points = 59.946214, Distribution Seed = 85.882302, Mesh Relaxation = 0.803901, Smooth Level = 1, 	368
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 54.04951, Y Length = 33.494953, Height = 86.292027, Number of Points = 10.433748, Distribution Seed = 97.034707, Mesh Relaxation = 0.206473, Smooth Level = 2, 	369
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 33.191845, Y Length = 82.660072, Height = 55.383174, Number of Points = 67.067016, Distribution Seed = 23.864458, Mesh Relaxation = 0.232494, Smooth Level = 1, 	370
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 57.99931, Y Length = 53.463366, Height = 49.028382, Number of Points = 90.302494, Distribution Seed = 43.287599, Mesh Relaxation = 0.473339, Smooth Level = 1, 	371
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 65.428391, Y Length = 40.128821, Height = 74.250074, Number of Points = 9.681825, Distribution Seed = 28.031004, Mesh Relaxation = 0.065746, Smooth Level = 1, 	372
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 72.620693, Y Length = 37.827906, Height = 34.04428, Number of Points = 64.744413, Distribution Seed = 70.032996, Mesh Relaxation = 0.148353, Smooth Level = 1, 	373
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 75.806471, Y Length = 22.409186, Height = 90.228666, Number of Points = 93.756677, Distribution Seed = 20.581381, Mesh Relaxation = 0.202109, Smooth Level = 2, 	374
Pensiveness, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 30.129295, Y Length = 74.242965, Height = 32.296395, Number of Points = 54.652199, Distribution Seed = 89.432835, Mesh Relaxation = 0.040754, Smooth Level = 1, 	375
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 45.800037, Y Length = 95.003005, Height = 37.995355, Number of Points = 68.274147, Distribution Seed = 41.440135, Mesh Relaxation = 0.668326, Smooth Level = 1, 	376
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 30.12413, Y Length = 73.034949, Height = 99.688565, Number of Points = 45.966609, Distribution Seed = 55.757867, Mesh Relaxation = 0.180567, Smooth Level = 2, 	377
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 67.361959, Y Length = 90.896979, Height = 88.112596, Number of Points = 98.445681, Distribution Seed = 9.31697, Mesh Relaxation = 0.278731, Smooth Level = 1, 	378
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 42.70933, Y Length = 18.013028, Height = 82.266201, Number of Points = 36.899053, Distribution Seed = 82.845, Mesh Relaxation = 0.135878, Smooth Level = 2, 	379
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 83.907793, Y Length = 81.576729, Height = 95.955113, Number of Points = 55.479197, Distribution Seed = 21.2022, Mesh Relaxation = 0.973594, Smooth Level = 2, 	380
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 66.440925, Y Length = 24.407111, Height = 74.107676, Number of Points = 48.899077, Distribution Seed = 19.620602, Mesh Relaxation = 0.082456, Smooth Level = 1, 	381
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 93.661452, Y Length = 86.529491, Height = 82.60769, Number of Points = 20.629428, Distribution Seed = 99.338578, Mesh Relaxation = 0.794202, Smooth Level = 1, 	382
